Paper,URL,Year,Venue,Component,Design Goal,Scope,Method,Human,Automated,Time Scale,Validation
AI Chains: Transparent and Controllable Human-AI Interaction by Chaining Large Language Model Prompts,https://doi.org/10.1145/3491102.3517582,2022,HCI,system,"effectiveness, efficiency, satisfaction",extrinsic,"quantitative, qualitative","expert, user",,"instant, shortterm",
AXNav: Replaying Accessibility Tests from Natural Language,https://doi.org/10.1145/3613904.3642777,2024,HCI,system,"effectiveness, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",static,"instant, shortterm",reliability
Beyond Testers' Biases: Guiding Model Testing with Knowledge Bases using LLMs,https://aclanthology.org/2023.findings-emnlp.901,2023,NLP,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",static,"instant, shortterm","validity, reliability"
ChainForge: A Visual Toolkit for Prompt Engineering and LLM Hypothesis Testing,https://doi.org/10.1145/3613904.3642016,2024,HCI,system,"effectiveness, satisfaction",extrinsic,"quantitative, qualitative",user,,shortterm,
ContextCam: Bridging Context Awareness with Creative Human-AI Image Co-Creation,https://doi.org/10.1145/3613904.3642129,2024,HCI,system,"effectiveness, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,static,"instant, shortterm, longterm",
EvalLM: Interactive Evaluation of Large Language Model Prompts on User-Defined Criteria,https://doi.org/10.1145/3613904.3642216,2024,HCI,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",static,"instant, shortterm",reliability
Exploring Multilingual Pretrained Machine Translation Models for Interactive Translation,https://aclanthology.org/2023.mtsummit-users.12,2023,NLP,model,effectiveness,intrinsic,quantitative,,static,instant,
Generating Signed Language Instructions in Large-Scale Dialogue Systems,https://aclanthology.org/2024.naacl-industry.13,2024,NLP,"model, system","effectiveness, satisfaction","intrinsic, extrinsic",quantitative,"expert, user",static,"instant, shortterm, longterm",
Harnessing the power of LLMs: Evaluating human-AI text co-creation through the lens of news headline generation,https://aclanthology.org/2023.findings-emnlp.217,2023,NLP,system,"effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,,"instant, shortterm",validity
Help me write a Poem - Instruction Tuning as a Vehicle for Collaborative Poetry Writing,https://aclanthology.org/2022.emnlp-main.460,2022,NLP,"model, system",effectiveness,"intrinsic, extrinsic",quantitative,user,static,"instant, shortterm","validity, reliability"
How AI Processing Delays Foster Creativity: Exploring Research Question Co-Creation with an LLM-based Agent,https://doi.org/10.1145/3613904.3642698,2024,HCI,system,"effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",,shortterm,reliability
Human I/O: Towards a Unified Approach to Detecting Situational Impairments,https://doi.org/10.1145/3613904.3642065,2024,HCI,system,"effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,static,"instant, shortterm","validity, reliability"
Human-Algorithmic Interaction Using a Large Language Model-Augmented Artificial Intelligence Clinical Decision Support System,https://doi.org/10.1145/3613904.3642024,2024,HCI,system,"efficiency, satisfaction",extrinsic,"quantitative, qualitative","expert, user",,"instant, shortterm",validity
Low-code LLM: Graphical User Interface over Large Language Models,https://aclanthology.org/2024.naacl-demo.2,2024,NLP,system,effectiveness,extrinsic,qualitative,,,,
Memoro: Using Large Language Models to Realize a Concise Interface for Real-Time Memory Augmentation,https://doi.org/10.1145/3613904.3642450,2024,HCI,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,,"instant, shortterm",validity
"Multi-party Multimodal Conversations Between Patients, Their Companions, and a Social Robot in a Hospital Memory Clinic",https://aclanthology.org/2024.eacl-demo.8,2024,NLP,"model, system",effectiveness,intrinsic,quantitative,,static,instant,
PaperWeaver: Enriching Topical Paper Alerts by Contextualizing Recommended Papers with User-collected Papers,https://doi.org/10.1145/3613904.3642196,2024,HCI,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",,shortterm,"validity, reliability"
Plan-Grounded Large Language Models for Dual Goal Conversational Settings,https://aclanthology.org/2024.eacl-long.77,2024,NLP,"model, system",effectiveness,intrinsic,quantitative,user,"static, generative","instant, shortterm",reliability
PopBlends: Strategies for Conceptual Blending with Large Language Models,https://doi.org/10.1145/3544548.3580948,2023,HCI,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative","expert, user",,shortterm,reliability
Proofread: Fixes All Errors with One Tap,https://aclanthology.org/2024.acl-demos.27,2024,NLP,model,effectiveness,intrinsic,quantitative,,static,,
RELIC: Investigating Large Language Model Responses using Self-Consistency,https://doi.org/10.1145/3613904.3641904,2024,HCI,"model, system","effectiveness, efficiency, satisfaction","intrinsic, extrinsic","quantitative, qualitative",user,static,"instant, shortterm",
